Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,3,0,1.000,102,71,31,10.3,-5.6,4.7,3.1,1.6
New England Patriots,1,2,.333,60,68,-8,-2.7,-8.3,-11.0,-8.4,-2.6
Miami Dolphins,0,3,.000,56,97,-41,-13.7,1.5,-12.1,-4.0,-8.2
New York Jets,0,3,.000,69,93,-24,-8.0,-0.4,-8.4,-3.6,-4.8
Cincinnati Bengals,2,1,.667,58,91,-33,-11.0,1.1,-9.9,-0.3,-9.6
Pittsburgh Steelers,2,1,.667,72,77,-5,-1.7,-0.4,-2.1,2.0,-4.1
Baltimore Ravens,1,2,.333,111,96,15,5.0,2.9,7.9,16.8,-8.9
Cleveland Browns,1,2,.333,46,68,-22,-7.3,0.9,-6.5,-11.6,5.1
Indianapolis Colts,3,0,1.000,103,56,47,15.7,-8.7,7.0,7.1,-0.1
Jacksonville Jaguars,2,1,.667,70,51,19,6.3,-2.3,4.0,1.3,2.7
Tennessee Titans,0,3,.000,51,94,-43,-14.3,2.1,-12.3,-7.2,-5.0
Houston Texans,0,3,.000,38,51,-13,-4.3,2.6,-1.7,-12.5,10.7
Los Angeles Chargers,3,0,1.000,70,50,20,6.7,-2.8,3.8,0.1,3.8
Las Vegas Raiders,1,2,.333,53,74,-21,-7.0,-0.1,-7.1,-4.6,-2.5
Denver Broncos,1,2,.333,68,64,4,1.3,0.7,2.0,-0.2,2.2
Kansas City Chiefs,1,2,.333,60,56,4,1.3,-1.4,0.0,-1.1,1.0
Philadelphia Eagles,3,0,1.000,77,63,14,4.7,-4.3,0.4,-2.6,3.0
Washington Commanders,2,1,.667,80,57,23,7.7,-4.5,3.2,4.3,-1.1
Dallas Cowboys,1,2,.333,74,92,-18,-6.0,-4.5,-10.5,0.9,-11.3
New York Giants,0,3,.000,52,83,-31,-10.3,-1.0,-11.3,-8.7,-2.7
Minnesota Vikings,2,1,.667,81,56,25,8.3,-6.9,1.5,1.4,0.0
Green Bay Packers,2,1,.667,64,44,20,6.7,2.4,9.1,0.2,8.9
Detroit Lions,2,1,.667,103,78,25,8.3,4.8,13.2,10.4,2.7
Chicago Bears,1,2,.333,76,93,-17,-5.7,0.5,-5.2,-0.9,-4.3
Tampa Bay Buccaneers,3,0,1.000,72,66,6,2.0,-2.8,-0.8,6.3,-7.1
Carolina Panthers,1,2,.333,62,53,9,3.0,5.7,8.7,5.0,3.6
Atlanta Falcons,1,2,.333,42,59,-17,-5.7,4.5,-1.2,-9.4,8.1
New Orleans Saints,0,3,.000,47,90,-43,-14.3,11.2,-3.1,1.5,-4.6
San Francisco 49ers,3,0,1.000,59,49,10,3.3,8.6,11.9,1.7,10.2
Arizona Cardinals,2,1,.667,62,51,11,3.7,7.0,10.7,1.5,9.2
Los Angeles Rams,2,1,.667,73,61,12,4.0,-3.5,0.5,4.8,-4.3
Seattle Seahawks,2,1,.667,88,47,41,13.7,1.1,14.7,6.4,8.3
